lang_loading_game    ="လုပ္ေဆာင္ေနသည္"
lang_shop_g_atm_pack_1    ="လွည့္လည္ အထုပ္"
lang_shop_g_atm_pack_2    ="ခရီးသြား အထုပ္"
lang_shop_g_atm_pack_3    ="စူးစမ္းမွု အထုပ္"
lang_shop_g_atm_pack_4    ="စြန္ ့စားမွု အထုပ္"
lang_shop_g_atm_pack_5    ="ေလ့လာေရး အထုပ္"
lang_shop_g_sms_pack_0    ="ေလ့လာမွု အထုပ္"
lang_shop_g_sms_pack_1    ="ျပင္ဆင္ျခင္း အထုပ္"
lang_shop_g_sms_pack_2    ="စုေဆာင္းမွု အထုပ္"
lang_shop_g_sms_pack_3    ="ထြက္ခြာျခင္း အထုပ္"
lang_shop_g_sms_pack_4    ="လွည့္လည္ အထုပ္"
lang_shop_g_iap_pack_0    ="ျပင္ဆင္ျခင္း အထုပ္"
lang_shop_g_iap_pack_1    ="ထြက္ခြာျခင္း အထုပ္"
lang_shop_g_iap_pack_2    ="ခရီးသြား အထုပ္"
lang_shop_g_iap_pack_3    ="စူးစမ္းမွု အထုပ္"
lang_shop_g_iap_pack_4    ="စြန္ ့စားမွု အထုပ္"
lang_shop_g_iap_pack_5    ="ေလ့လာေရး အထုပ္"
lang_shop_g_iap_pack_6    ="ေအာင္ျမင္မွု အထုပ္"
lang_shop_g_zing_pack_0    ="ေလ့လာမွု အထုပ္"
lang_shop_g_zing_pack_1    ="ျပင္ဆင္ျခင္း အထုပ္"
lang_shop_g_zing_pack_2    ="ထြက္ခြာျခင္း အထုပ္"
lang_shop_g_zing_pack_3    ="လွည့္လည္ အထုပ္"
lang_shop_g_zing_pack_4    ="ခရီးသြား အထုပ္"
lang_shop_g_zing_pack_5    ="စြန္ ့စားမွု အထုပ္"
lang_shop_g_zing_pack_6    ="ေလ့လာေရး အထုပ္"
lang_shop_gold_pack_0    ="ေရႊဒဂၤါး အထုပ္"
lang_shop_gold_pack_1    ="ေရႊေခ်ာင္း အထုပ္"
lang_shop_gold_pack_2    ="ေရႊအိတ္ အထုပ္"
lang_shop_gold_pack_3    ="ေရႊတြင္း အထုပ္"
lang_shop_gold_pack_4    ="ေရႊအပံု အထုပ္"
lang_wait_buy_iap    ="ေနာက္ထပ္ဝယ္ယူရန္ေစာင့္ပါ!"
second    ="စကၠန့္"
minute    ="မိနစ္"
hour    ="နာရီ"
lang_error_code    ="ကုဒ္အမွား"
lang_error_general    ="အမွား @err@! ထပ္မံၾကိဳးစားပါ"
lang_go_shop_ask    ="ပုိမုိဝယ္ယူရန္ဆုိင္ကုိလာလည္ပါ"
lang_go_shop    ="ဆုိင္သို့သြားသည္"
lang_switch_shop_g_ask    ="ေရႊျဖင့္လဲလွယ္ရန္ Gပုိဝယ္ပါ"
lang_buy_now    ="အခုဝယ္ယူမည္"
lang_buy_g    ="Gဝယ္သည္"
lang_buy_gold    ="ေရႊဝယ္သည္"
lang_buy_booster    ="အရွိနု္ထပ္ျမွင့္ပါ!"
lang_buy_tool    ="ကိရိယာထပ္ျဖည့္ပါ!"
lang_buy_heart    ="အသည္းထပ္ျဖည့္ပါ!"
lang_bonus    ="ပိုမုိရယူရန္:"
# Daily Login    =""
lang_dailylogin_title    ="ဂိမ္းဝင္လက္ေဆာင္!"
lang_dailylogin_today    ="ဒီေန့"
lang_dailylogin_tmr    ="မနက္ျဖန္"
lang_dailylogin_dayX    ="Day X"
lang_dailylogin_day7    ="၇ရက္ အထူးလက္ေဆာင္"
lang_choose_chest_to_open    ="ဖြင့္ရန္ေသတၱာတစ္ခုေရြးပါ"
lang_touch_to_claim    ="လက္ခံရန္ထိပါ"
lang_not_enough_gold    ="ေရႊမလံုေလာက္ပါ"
lang_out_of_gold    ="ေရႊကုန္ျပီ"
lang_notice_exit_game    ="ဂိမ္းမွထြက္ခ်င္ပါသလား။"
lang_btn_cancel    ="မထြက္ပါ"
lang_btn_exit_game    ="ထြက္မည္"
lang_confirm_ok    ="အုိေက"
lang_ok    ="အုိေက"
lang_confirm    ="ေသခ်ာသည္"
lang_game_name    ="Catventure"
EMAIL_REPORT_SENDTO    ="meoduky.zingplay@gmail.com"
EMAIL_REPORT_TITLE    ="[Zingplay]အၾကံျပဳခ်က္၊ ေျမာင္စြန္ ့စားခန္းမွ ျပႆနာကုိ တင္ျပပါ"
EMAIL_REPORT_DEVICE    ="- Device: @device@ \n"
EMAIL_REPORT_OS_NAME    ="- OS: @os_name@ \n"
EMAIL_REPORT_OS_VERSION    ="- OS version: @os_version@ \n"
EMAIL_REPORT_GAME_VERSION    ="- Game version: @game_version@ \n"
EMAIL_REPORT_USER_ID    ="- UID: @user_id@ \n"
EMAIL_REPORT_OPENING    ="ဟိုင္း!\n [သင့္တုန္ ့ျပန္မွုသည္ ဂိမ္းပုိမုိတိုးတက္ေစရန္ အေထာက္အကူျပဳသည္]"
noti_ask_mapping    ="ခ်ိတ္ဆက္ပါ <rgb = 49,138,0> ဧည္သည့္ </rgb> အေကာင့္ျဖင့္ <rgb = 49,138,0> Facebookကုိ </rgb>?\n (ေျမာင္စြန္ ့စားခန္းကုိလံုးဝ မကစားဖူးေသာ အေကာင့္ျဖင့္သာ ခ်ိတ္နုိင္မည္)"
noti_confirm_mapping    ="ဧည့္သည္အေကာင့္ကုိ Facebookနွင့္ခ်ိတ္ရန္ ေသခ်ာျပီလား။"
noti_mapping_success    ="ေအာင္ျမင္စြာခ်ိတ္ဆက္ျပီးျပီ"
noti_mapping_failed    ="ခ်ိတ္ဆက္မွုက်ရွံုးသည္"
MAPPING_BEFORE    ="သတ္မွတ္ထားေသာအေကာင့္သည္ အျခားအေကာင့္တစ္ခုျဖင့္ ခ်ိတ္ဆက္ျပီးျပီ!"
MAPPING_NOT_GUEST    ="ဧည့္သည္အေကာင့္မ်ားသာခိိ်တ္ဆက္နုိင္ပါမည္"
MAPPING_ACCOUNT_EXIST    ="သတ္မွတ္ထားေသာ အေကာင့္သည္ ခိ်တ္ဆက္ဖူးသည္။ တစ္ခါမွမခ်ိတ္ဖူးေသာ အေကာင့္ျဖင့္ခ်ိတ္ပါ"
noti_login_fail    ="အေကာင့္ မဝင္ေရာက္နုိင္ပါ"
noti_mapping_login_fail    ="ခ်ိတ္ဆက္ထားေသာအေကာင့္ကုိ သက္ေသမျပနိင္ပါ"
lang_select_method    ="ေပးေခ်ရန္နည္းလမ္းေရြးပါ"
lang_rate_0    ="နွုန္း"
lang_rate_1    ="ေျမာင္စြန္ ့စားခန္းကုိ ေၾကြလား။"
lang_rate_3    ="သတ္မွတ္ျပီး <rgb = 212,75,23> 5Stars </rgb>Playstoreမွာ လက္ေဆာင္ရယူပါ"
lang_select_to_buy    ="ေပးေခ်ရန္နည္းလမ္းေရြးပါ"
# Ranking    =""
lang_ranking_title    ="ထိပ္သီးျပဇယား"
lang_tab_title_all    ="တစ္ခ်ိ္န္လံုး"
lang_tab_title_week    ="အပတ္စဥ္"
lang_tab_friend    ="သူငယ္ခ်င္း"
lang_vietnam    ="ဗီယက္နမ္"
lang_tab_global    ="ကမာၻ"
lang_connect_facebook    =""
lang_switch_facebook    ="ထိပ္သီးျပဇယားကုိအသံုးျပဳျပီး သူငယ္ခ်င္းမ်ားနွင့္ခ်ိတ္ရန္ facebookအေကာင့္သို့ေျပာင္းပါ"
lang_btn_switch    ="ေျပာင္းသည္"
lang_scroll_top    ="ထိပ္ဆံုး"
lang_scroll_bot    ="ေအာက္ေျခ"
lang_ranking_point    ="အဆင့္"
# Win Streak    =""
lang_notify_lose_winstreak    ="ဂိမ္းအခုထြက္ရင္\n လက္ေဆာင္ပါဝါေတြဆံုးရွံုးမယ္ေနာ္!"
lang_winstreak_name    ="လက္မွုအလုပ္ရုံ"
lang_winstreak_intro    ="အဆင့္တုိင္းမွာအနုိင္ရျပီး ထိ္န္းထားနုိင္ရင္ လက္ေဆာင္ပါဝါေတြရမယ္"
# Ingame GUI    =""
lang_btn_continue_play    ="ကစားပါ"
lang_btn_play_now    ="ယခု ကစားမည္"
lang_btn_replay    ="ျပန္လည္ကစားမည္"
lang_btn_quit_game    ="ဂိမ္းထြက္မည္"
lang_reward    ="ဆု"
lang_lose    ="ျပီးေတာ့မယ္!"
lang_choose_booster    ="အဆင့္ျမွင့္တင္မွုကုိေရြးပါ"
lang_gui_quitgame_title    ="ဂိမ္းမွထြက္ခ်င္ပါသလား။"
lang_target    =""
lang_gui_quitgame_des    ="ဂိမ္းအခုထြက္ရင္\n အသည္းဆံုးရွံုးမယ္ေနာ္!"
lang_last_heart_end_game    ="ေနာက္ဆံုးအသည္း!"
lang_lose_collection_end_game_1    ="သင္ ထပ္ေပါင္းျဖစ္စဥ္ကုိ ဆံုးရွံဳးလိမ့္မည္"
lang_lose_winstreak_end_game    ="သင္လက္မွုအလုပ္ရုံဆုကုိ ဆုံရွံုးလိမ့္မည္"
lang_last_heart_end_game_1    ="ေနာက္ဆံုးအသည္းကိုေရာက္ေနျပီ။ဆက္ကစားဖို့အသည္းရရန္ မိနစ္၃၀ေစာင့္ပါ"
lang_lose_collection_end_game    ="လံုေလာက္ေအာင္စုေဆာင္းျပီးဆုရယူပါ \n မဆံုးရွံဳးပါေစနွင့္"
lang_level    ="အဆင့္"
lang_hard    ="ခက္ခဲေသာ"
# Event Collect    =""
lang_event_collect_title    ="ခရီးစဥ္အတြက္ျပင္ဆင္ေနျပီ"
lang_event_collect_quest    ="ဆုအတြက္ @type@ @amount@ စုေဆာင္းပါ"
# Alert    =""
lang_alert_confirm_progress    ="လက္ရွိတုိးတက္မွုမွာ ထပ္ျပင္လိုပါက "Okay"ကုိနွိပ္ပါ"
lang_alert_not_login    ="ဂိမ္းမဝင္ထားပါ"
lang_alert_punish_cheat    ="အခ်ိန္ကုိစီမံခန္ ့ခြဲေသာစနစ္ကိုေတြ ့ရွိသည္"
lang_alert_login_succeed    ="ဂိမ္းဝင္ေရာက္မွုေအာင္ျမင္သည္"
lang_alert_no_internet    ="အင္တာနက္နွင့္ခ်ိတ္ဆက္မရပါ"
lang_alert_not_enough_card    ="သင့္တြင္ကတ္မ်ားမလံုေလာက္ပါ"
lang_alert_recipe_cooling_down    ="အညႊန္းကိုသံုးလုိ့မရေသးပါ"
lang_alert_comeback_tomorrow    ="မနက္ျဖန္မွျပန္လာေနာ္"
lang_alert_out_of_level    ="ဒီခရီးစဥ္ရဲ ့ေနာက္ဆံုးအဆင့္ကုိ ေက်ာ္ျဖတ္နုိင္တဲ့အတြက္ ဂုဏ္ယူပါတယ္! ေနာက္ထပ္စိန္ေခၚမွုမ်ားစြာက ေစာင့္ေနပါတယ္။ ေနာက္ဆံုး Update ကုိေစာင့္ပါ!"
lang_alert_display_unavailable_artifact    ="လက္ရွိေရွးေဟာင္းပစၥည္းသည္ အားကုန္ျပီး အသက္ဝင္ေတာ့မည္မဟုတ္ပါ \n \n ၎ကို စုေဆာင္းမွုထဲမွာသိမ္းလုိပါသလား။"
lang_alert_confirm_undisplay_artifact    ="ေရွးေဟာင္းပစၥည္းကုိသိမ္းလုိပါသလား။\n သိမ္းတယ္ဆုိတာ ပိတ္သိမ္းလုိက္တာပါပဲ"
lang_alert_cannot_change_acc    ="အေကာင့္ေျပာင္းလုိ့မရပါ!"
lang_offer_1    ="ခရီးစဥ္စတင္ျပီ"
lang_offer_2    ="ရွာေဖြေရး လွုပ္ရွားမွု"
lang_offer_3    ="ကမာၻပတ္မယ္"
lang_offer_110    ="ကမာၻပတ္မယ္"
lang_offer_120    ="ကမာၻပတ္မယ္"
lang_offer_130    ="ကမာၻပတ္မယ္"
# Craft    =""
lang_craft_machine    ="လက္မွုစက္"
lang_craft_ingredient    ="ပါဝင္ပစၥည္း"
lang_craft_reward    ="ပစၥည္း"
lang_connect_for_recipe    ="အညႊန္းရရန္ အင္တာနက္ျဖင့္ခ်ိတ္ဆက္ပါ"
lang_craft_inventory    ="စုေဆာင္းနုိင္ေသာ ကဒ္စာရင္း"
lang_recipe_cooldown    ="အညႊန္းအတြက္ အဆင္သင့္ျဖစ္ျပီ"
lang_craft    ="လက္မွု"
lang_login_for_recipe    ="အညႊန္းရရန္ ဂိမ္းဝင္ပါ"
#Ads    =""
lang_ads_heart_des    ="ျပန္ကစားရန္ အသည္းတစ္ခုထည့္ပါ"
lang_ads_win_streak_des    ="လက္မွုအလုပ္ရုံထဲသုိ ့အဆင့္၁ခုေပါင္းပါ"
lang_title_ads_win_streak    ="လက္မွုအလုပ္ရုံ အဆင့္ျမွင့္သည္"
lang_skyrace_title    ="ေကာင္းကင္ျပိဳင္ပြဲ"
lang_skyrace_end    ="ျပီးဆံုးသည္"
lang_sky_race_rule    ="ျပီးဆံုးသည္<rgb = 255,255,0> ပထမ၁၀ဆင့္ </rgb> နွင့္အမိုက္စားဆုမ်ားရယူပါ"
lang_loading    ="လုပ္ေဆာင္ေနသည္…"
lang_you    ="သင္"
lang_none    ="မစတင္ေသးပါ"
lang_start    ="စတင္မည္"
lang_end    ="ျပီးဆံုးသည္"
# Adventure Cup    =""
lang_advt_title    ="ေျမာင္စြန္႔စားခန္း"
lang_advt_des    =""
lang_advt_buy_failed    ="ေဒတာမွားယြင္းေနသည္!"
lang_advt_cup    ="ခြက္"
lang_advt_hint_connect    =" ျပိဳင္ပြဲမွာပါဝင္ဖို႔ အင္တာနက္ကိုခ်ိတ္ဆက္လိုက္ပါ"
lang_advt_hint_connect1    ="ပထမဂိမ္းကိုသင္အႏိုင္ရလိုက္သည္၊\n ျပိဳင္ပြဲမွာပါဝင္ဖို႔ အင္တာနက္ကိုခ်ိတ္ဆက္လိုက္ပါ"
lang_advt_hint_win    ="ပါဝင္ကစားဖို႔ ဂိမ္းတစ္ပြဲအႏိုင္ယူပါ"
lang_advt_rank    ="အဆင့္: "
# Craft Tutorial    =""
lang_craft_tutorial_1    ="သင္ယခုရရွိထားေသာကဒ္ကိုၾကည့္ရန္ <rgb=49,138,0> စုေဆာင္းမႈ </rgb> ကိုဖြင့္ပါ။"
lang_craft_tutorial_2    ="<rgb=49,138,0>အခ်ိန္ကုန္ၿပီးေနာက္</rgb> သို႔ <rgb=49,138,0>ေနာက္ထပ္ဆုလက္ေဆာင္</rgb>ကို ရယူဖို႔ျပန္လာပါ"
lang_craft_tutorial_3    ="</rgb> ဆုလက္ခံရန္ <rgb=49,138,0> ေရွးေဟာင္းပစၥည္း <rgb=49,138,0> </rgb> ကို ႏိွပ္ပါ"
lang_craft_tutorial_4    ="ေရွးေဟာင္းပစၥည္း<rgb=49,138,0> သည္စင္ေပၚတြင္</rgb> ျပသထားေသာအခ်ိန္တြင္သာ  <rgb = 49,138,0> အသက္ဝင္မည္။ </rgb> ျပသရန္ႏိွပ္ပါ "
lang_craft_tutorial_5    ="သင္ရရွိထားေသာ <rgb=49,138,0> ကဒ္သည္ </rgb> ေရွးေဟာင္းပစၥည္း <rgb = 49,138,0> ကိုဖန္တီးရန္သံုးသည္ "
lang_craft_tutorial_6    ="<rgb=49,138,0> လက္မႈစက္ </rgb> ကိုဖြင့္ရန္ ဤေနရာမွာႏိွပ္ပါ"
lang_craft_tutorial_7    ="လက္မႈလုပ္ႏိုင္ေသာအညႊန္းတစ္ခုရရိွသည္!"
lang_craft_tutorial_8    ="ယခုသင္ဖြင့္လိုက္ေသာကဒ္သည္ <rgb=49,138,0>craft</rgb> အသံုးဝင္ေသာ <rgb=49,138,0>ေရွးေဟာင္းပစၥည္း</rgb> ႏွင့္ <rgb=49,138,0> ပစၥည္းမ်ားကို </rgb> ဖန္တီးဖို႔သံုးႏိုင္သည္"
lang_craft_tutorial_9    ="သင့္ထံတြင္ အညႊန္းအတြက္လံုေလာက္ေသာပစၥည္းမ်ားရွိသည္! လုပ္ရန္ <rgb=49,138,0> လက္မႈ</rgb> ကိုႏွိပ္ပါ"
lang_craft_tutorial_10    ="ဒီမွာအညႊန္းအတြက္ လိုအပ္ေသာ <rgb=49,138,0> ပစၥည္း</rgb> ကဒ္အခ်ိဳ႕ျဖစ္သည္"
lang_craft_tutorial_11    ="ဒီကဒ္မ်ားကို သင္ <rgb=49,138,0> သည္ </rgb> ပိုင္ဆိုင္သည္"
lang_craft_tutorial_12    ="သင္သည္ <rgb=49,138,0> ႏွစ္ထပ္ဘတ္စ္ကား </rgb> ကဒ္ကိုယခုလက္ခံရရွိသည္"
lang_craft_tutorial_13    ="<rgb=49,138,0> ေရွးေဟာင္းပစၥည္း </rgb> သည္ ဂိမ္းကစားရာတြင္ အစြမ္းထက္ၿပီး အကူအညီျဖစ္ေစသည္"
lang_craft_tutorial_14    ="ႏွစ္ထပ္ဘတ္စ္ကား <rgb=49,138,0> ကို </rgb> ဖန္တီးဖို႔  သင္သည္ဒီလို <rgb=49,138,0> ကဒ္အမ်ိဳးအစား </rgb> ကဒ္ 10 ခု </rgb> လိုအပ္သည္"
lang_craft_tutorial_15    ="သင္သည္ <rgb=49,138,0> ဆု</rgb> ရရွိရန္ လုံေလာက္စြာ စုေဆာင္းထားသည္"
# Piggy    =""
lang_piggy_title    ="ဝက္စုဗူး"
lang_piggy_des    ="ဂိမ္းတိုင္းတြင္အႏိုင္ယူျခင္းျဖင့္ G ကိုစုေဆာင္းပါ၊ \n ေလွ်ာ့ေစ်းျဖင့္ဝက္စုဗူးဝယ္ဖို႔ အနည္းဆုံး <color=YELLOW> @numG1@G </color> စုေဆာင္းပါ (သို႔မဟုတ္)  <color = YELLOW> @numG2@G </color> အထိစုေဆာင္းပါ"
lang_piggy_step_1    ="အဆင့္မ်ားကိုအႏိုင္ယူပါ"
lang_piggy_step_2    ="G စုေဆာင္းပါ"
lang_piggy_step_3    ="ဝက္စုဗူးဝယ္ပါ!"
lang_piggy_full_short    ="ျပည့္ျပီ!"
lang_piggy_current    ="<rgb = 49,138,0> @num@G </rgb> ခုရိွေနျပီ"
lang_piggy_full_long    ="ျပည့္ေနျပီ!"
lang_piggy_info1_not_enough    ="G စုေဆာင္းမႈမလံုေလာက္ပါ"
lang_piggy_info1_enough    ="အနည္းဆံုး G စုေဆာင္းမႈ"
lang_piggy_info1_full    ="ဝက္စုဗူးျပည့္ေနျပီ!!!"
lang_piggy_info2_not_enough    ="ဝက္စုဗူးအဆင့္တစ္ခုစီအတြက္ <rgb = 49,138,0> @num@G </rgb> ခုပိုမိုစုေဆာင္းရန္ အဆင့္မ်ားကိုအႏိုင္ယူပါ "
lang_piggy_info2_enough    ="အကယ္၍ G ကိုခ်က္ခ်င္းလိုအပ္ပါက \n ဝက္စုဗူးကို ခ်က္ျခင္းဝယ္ခြဲႏိုင္သည္!"
lang_piggy_info2_full    ="G အတြက္ေနရာထပ္မရိွေတာ႔ပါ \n ဝက္စုဗူးကိုဝယ္ခြဲလိုက္ပါ!"
lang_piggy_buy    ="@prc@ ဝယ္ပါ"
lang_piggy_buy_failed    ="ေဒတာမွားယြင္းေနသည္!"
lang_thankiu_comment    ="သင့္တုန္႔ျပန္မႈအတြက္ေက်းဇူးတင္ပါသည္"
lang_day    ="ေန႔"
lang_login_error    =""
lang_cannot_connect    =""
lang_buy_failed    =""
NOTI_TILE_1    ="အဆင့္သစ္မ်ားႏွင့္မြမ္းမံပါ!"
NOTI_TILE_2    ="မေတြ႔ၾကတာ 7 ရက္ရိွျပီေနာ္!"
NOTI_TILE_3    ="သင္ဆုကိုယခုလက္ခံရရိွသည္!"
NOTI_TILE_4    ="ဝက္ေလးကိုရိုက္၊ ဝက္ေလးကိုခြဲ!"
NOTI_TILE_5    ="ပရိုမိုးရွင္းရက္ကုန္ျပီ!"
NOTI_TILE_6    =""ေဝဟင္သခင္" ပြဲေတာ္စတင္ပါျပီ!"
NOTI_TILE_7    =""ေဝဟင္သခင္" ပြဲေတာ္ျပီးဆံုးပါျပီ!"
NOTI_TILE_8    =""စူးစမ္းဘုရင္" ပြဲေတာ္စတင္ပါျပီ!"
NOTI_TILE_9    =""စူးစမ္းဘုရင္" ပြဲေတာ္ျပီးဆံုးပါျပီ!"
NOTI_TILE_10    =""ေက်ာက္မ်က္ရွာပြဲ" စတင္ပါျပီ"
NOTI_TILE_11    ="အသည္းျပည့္ျပီ!"
NOTI_TILE_12    ="တပ္ဖြဲ႕ထံမွ အသည္း 1ခုရရိွသည္!"
NOTI_TILE_13    ="တပ္ဖြဲ႕ထံမွ ကဒ္ 1ခုရရိွသည္!"
NOTI_TILE_14    ="စြန္႔စားခန္းထြက္ၾကစို႔!"
NOTI_TILE_15    =""
NOTI_DES_1_1    ="ေျမာင္စြန္႔စားခန္းတြင္ အဆင့္သစ္မ်ားစြာ မြမ္းမံထားပါသည္၊ အဲဒါေတြကို အႏိုင္ယူလိုက္ၾကစို႔ "
NOTI_DES_1_2    ="စြန္႔စားခန္းကို မလာတာ 7 ရက္ၾကာၿပီေနာ္၊ Cheese ေလးက မင္းကိုသတိရေနတယ္!"
NOTI_DES_1_3    ="လွ်ိဳ႕ဝွက္လက္ေဆာင္တစ္ခုကို သင္ရရိွထားသည္။ အဲဒါဘာလဲဆိုတာ ဖြင့္ၾကည့္လိုက္ရေအာင္"
NOTI_DES_1_4    ="့ဝက္စုဘူးမွာ ဆုေတြျပည့္ေနၿပီ။ လာခြဲလိုက္ပါဦးေနာ္"
NOTI_DES_1_5    ="ပ႐ိုမိုးရွင္းပက္ေက့ခ်္ "စတင္ရာခရီး" သက္တမ္းကုန္သြားပါၿပီ၊ အဲဒါဘာလဲဆိုတာ လာၾကည့္ၾကပါဦး"
NOTI_DES_1_6    =""ေဝဟင္သခင္" ပြဲေတာ္စတင္ေနပါျပီ၊ အျခားကစားသမားမ်ားႏွင့္ ယွဥ္ၿပိဳင္လိုက္ပါ"
NOTI_DES_1_7    =""ေဝဟင္သခင္" ပြဲေတာ္ ၿပီးဆုံးသြားပါၿပီ၊ သင့္ဆုေတြက ဘာေတြလဲဆိုတာ လာၾကည့္လိုက္ပါဦး"
NOTI_DES_1_8    =""စူးစမ္းဘုရင္" ပြဲေတာ္ စတင္ေနပါျပီ၊ ယခုပဲျပိဳင္ပြဲမွာ ထိပ္ဆံုးထိေရာက္ေအာင္ျပိဳင္လိုက္ပါ"
NOTI_DES_1_9    =""စူးစမ္းဘုရင္" ပြဲေတာ္ ျပီးဆုံးသြားပါၿပီ၊ သင္မယူရေသးေသာ ဆု 1 ခုရိွသည္"
NOTI_DES_1_10    =""ေက်ာက္မ်က္ရွာပြဲ" ပြဲေတာ္စတင္ပါၿပီ၊ ဒီစိန္ေခၚမႈကို သင္လက္ခံရဲသလား"
NOTI_DES_1_11    ="အသည္းေတြျပည့္ေနျပီ၊ Cheese နဲ႔အတူ စူးစမ္းၾကည့္လိုက္ရေအာင္"
NOTI_DES_1_12    ="အဖြဲ႕ထံမွ အသည္း 1 ခုကိုသင္ရရိွသည္။ အခုပဲ လာယူလိုက္ပါ"
NOTI_DES_1_13    ="အဖြဲ႕မွ သင့္ကိုကတ္အသစ္တစ္ခုေပးတယ္၊ သင္ဘာကိုေစာင့္ေနတာလဲ။ အခုပဲခ်က္ခ်င္း လာယူလိုက္ပါ"
NOTI_DES_1_14    ="မၿပီးေသးတဲ့မစ္ရွင္ သင့္မွာတစ္ခုရွိေနတယ္၊ အဲဒါကိုၿပီးေအာင္လုပ္ၿပီး ဆုကိုရယူလိုက္ပါ"
NOTI_DES_1_15    ="သင္ဂိမ္းထဲမ၀င္တာတစ္ရက္ရွိၿပီ၊ ေက်းဇူးျပဳၿပီးျပန္လာၿပီး Cheese နဲ႔အတူ စူးစမ္းပါ။"
NOTI_DES_2_1    ="အဆင့္အသစ္မ်ားစြာကို ယခုပဲမြမ္းမံၿပီးပါၿပီ။ အရင္ဆံုးစမ္းသုံးသူျဖစ္လိုက္ပါ!"
NOTI_DES_2_4    ="ဝက္စုဘူးကို လာခြဲလိုက္ရေအာင္၊ အထဲမွာ ဆုေတြအမ်ားႀကီးရွိရမယ္"
NOTI_DES_2_5    =""စတင္ရာခရီး" ပ႐ိုမိုးရွင္းပက္ေက့ဂ်္တြင္ ပစၥည္းမ်ားစြာရွိသည္၊ အဲဒါဘာေတြပါလဲ ၾကည့္လိုက္ရေအာင္"
NOTI_DES_2_11    ="သင့္မွာ အသည္း 5 ခုရိွသည္၊ စြန႔္စားခန္းေတြ သြားလိုက္ရေအာင္"
test    =""
# On Boarding    =""
lang_onboarding_text_1    ="လန္ဒန္ျမိဳ႕၊ ၁၈ ရာစု\n သိပၸံႏွင့္နည္းပညာ၏ေ႐ႊေခတ္ကာလ"
lang_onboarding_text_2    ="ေဖာက္ထြင္းနည္းပညာမ်ားသည္ ေျမာင္တိုင္းျပည္၏ ဖြံ႕ၿဖိဳးတိုးတက္မႈကို ထိပ္ဆံုးေရာက္ေအာင္ ကူညီေပးသည္..."
lang_onboarding_text_3    ="...ဒါေပမယ့္ ဒီတီထြင္မႈႀကီးေတြက မေကာင္းတဲ႔သူေတြလက္ထဲေရာက္သြားရင္ ဘာျဖစ္မလဲ။"
lang_onboarding_text_4    ="တျခားဇာတ္လမ္းေတြလိုပဲ လူဆိုးေတြ ေသာင္းက်န္းတဲ့အခါ သူရဲေကာင္းေတြ ေပၚလာလိမ့္မယ္..."
lang_onboarding_text_5    ="ဒီဇာတ္လမ္းမွာေတာ႔ သိပၸံပညာရွင္ အဖိုး Mac နွင့္ ေျမး Cheese တို႔ျဖစ္ပါသည္"
lang_onboarding_text_6    ="သူတို႔သည္ လူဆိုးမ်ားကို တိုက္ခိုက္ရန္ ေနရာမ်ားစြာသို႔ သြားေရာက္ၾကၿပီး Calico ၿမိဳ႕ငယ္ေလးတြင္ ခရီးစတင္သည္..."
lang_onboarding_text_7    ="အာ၊ ခ်စ္ရတဲ့ Calico၊ ငါ့ရဲ႕ဓာတ္ခြဲခန္းေလးကို ဘယ္ေလာက္ေတာင္လြမ္းမိမလဲ"
lang_onboarding_text_8    ="... ပစၥည္းေတြနဲ႔ ျပည့္ေနတဲ့ ရႈပ္ပြေနတဲ့ အခန္းကို ဆိုလိုတာလား ?"
lang_onboarding_text_9    ="ဟမ္၊ အဲဒီေနရာကို ဘာပဲျဖစ္ျဖစ္အိမ္လို႔ပဲ ေခၚတယ္..."
lang_onboarding_text_10    ="ၿပီးေတာ့... ေနာက္ဘာျဖစ္သြားတာလဲ"
lang_onboarding_text_11    ="တစ္ခ်ိန္တုန္းက မင္းငါ့ကိုကားဂိတ္ဆီလာႀကိဳဖို႔လုပ္တုန္းက တားခဲ႔တဲမေတာ္တဆမႈအျဖစ္အပ်က္ကိုသတိရမိတယ္"
lang_onboarding_text_12    ="ပေဟဠိကိုေျဖရွင္းျခင္းအားျဖင့္ မွတ္မိေစဖို႔ ကူညီပါရေစ"
lang_onboarding_text_13    ="ပုံထြက္ေပၚလာေစဖို႔ စေလာ႔ကိုႏွိပ္ပါ"
lang_onboarding_text_14    ="ပုံထြက္ေပၚလာေစဖို႔ ၾကယ္လိုအပ္သည္။ အဆင့္တစ္ခုျပီးေသာအခါ ၾကယ္(မ်ား)ကို လက္ခံရရွိမည္ျဖစ္သည္"
lang_onboarding_text_15    ="အဲ႔ဒါမွန္တယ္! သူကတီထြင္မႈအသစ္ကိုစမ္းသပ္ေနစဥ္တုန္းက အိမ္ေနာက္ေဖးမွာ ပိတ္မိေနခဲ့တယ္"
lang_onboarding_text_16    ="ဟမ္! အဲဒီအခ်ိန္မွာ ဒါဟာကိုယ့္အမွားေၾကာင့္လို႔ ထင္ခဲ့တယ္"
lang_onboarding_text_17    ="လက္ရွိပန္းတိုင္ကိုၾကည့္ရန္ ဒီမွာႏိွပ္ပါ"
